x: 0.67, y: 0.97, z: 0.00
x: 0.68, y: 0.89, z: 0.01
x: 0.71, y: 0.83, z: 0.01
x: 0.74, y: 0.80, z: 0.00
x: 0.77, y: 0.78, z: -0.01
x: 0.72, y: 0.80, z: 0.00
x: 0.76, y: 0.74, z: -0.01
x: 0.78, y: 0.71, z: -0.02
x: 0.80, y: 0.69, z: -0.03
x: 0.74, y: 0.82, z: -0.01
x: 0.77, y: 0.76, z: -0.02
x: 0.79, y: 0.73, z: -0.03
x: 0.82, y: 0.70, z: -0.03
x: 0.76, y: 0.85, z: -0.02
x: 0.79, y: 0.79, z: -0.03
x: 0.81, y: 0.76, z: -0.03
x: 0.83, y: 0.74, z: -0.03
x: 0.77, y: 0.89, z: -0.03
x: 0.80, y: 0.86, z: -0.04
x: 0.82, y: 0.84, z: -0.03
x: 0.84, y: 0.82, z: -0.03
